real.type	inferred	val	sim	noff	alf	prior	est	real	ratio	id	noff2	type
Unrelated	Inferred unrelated	0.992954938189552	10	125	uniform	no prior	100	108	0.925925925925926	off_125@no prior@uniform@10	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred full-siblings	0.8	85	125	uniform	no prior	120	175	0.685714285714286	off_125@no prior@uniform@85	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred full-siblings	0.0175438596491228	85	125	uniform	no prior	120	175	0.685714285714286	off_125@no prior@uniform@85	Offspring sampled = 125	uniform no prior
Unrelated	Inferred full-siblings	0	85	125	uniform	no prior	120	175	0.685714285714286	off_125@no prior@uniform@85	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred half-siblings	0.2	85	125	uniform	no prior	120	175	0.685714285714286	off_125@no prior@uniform@85	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred half-siblings	0.56140350877193	85	125	uniform	no prior	120	175	0.685714285714286	off_125@no prior@uniform@85	Offspring sampled = 125	uniform no prior
Unrelated	Inferred half-siblings	0.0148572918024241	85	125	uniform	no prior	120	175	0.685714285714286	off_125@no prior@uniform@85	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred unrelated	0	85	125	uniform	no prior	120	175	0.685714285714286	off_125@no prior@uniform@85	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred unrelated	0.421052631578947	85	125	uniform	no prior	120	175	0.685714285714286	off_125@no prior@uniform@85	Offspring sampled = 125	uniform no prior
Unrelated	Inferred unrelated	0.985142708197576	85	125	uniform	no prior	120	175	0.685714285714286	off_125@no prior@uniform@85	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred full-siblings	0.782608695652174	8	125	uniform	no prior	116	162	0.716049382716049	off_125@no prior@uniform@8	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred full-siblings	0	8	125	uniform	no prior	116	162	0.716049382716049	off_125@no prior@uniform@8	Offspring sampled = 125	uniform no prior
Unrelated	Inferred full-siblings	0	8	125	uniform	no prior	116	162	0.716049382716049	off_125@no prior@uniform@8	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred half-siblings	0.217391304347826	8	125	uniform	no prior	116	162	0.716049382716049	off_125@no prior@uniform@8	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred half-siblings	0.576923076923077	8	125	uniform	no prior	116	162	0.716049382716049	off_125@no prior@uniform@8	Offspring sampled = 125	uniform no prior
Unrelated	Inferred half-siblings	0.0145117008759315	8	125	uniform	no prior	116	162	0.716049382716049	off_125@no prior@uniform@8	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred unrelated	0	8	125	uniform	no prior	116	162	0.716049382716049	off_125@no prior@uniform@8	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred unrelated	0.423076923076923	8	125	uniform	no prior	116	162	0.716049382716049	off_125@no prior@uniform@8	Offspring sampled = 125	uniform no prior
Unrelated	Inferred unrelated	0.985488299124069	8	125	uniform	no prior	116	162	0.716049382716049	off_125@no prior@uniform@8	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred full-siblings	0.847457627118644	110	125	uniform	no prior	107	128	0.8359375	off_125@no prior@uniform@110	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred full-siblings	0.0102040816326531	110	125	uniform	no prior	107	128	0.8359375	off_125@no prior@uniform@110	Offspring sampled = 125	uniform no prior
Unrelated	Inferred full-siblings	0	110	125	uniform	no prior	107	128	0.8359375	off_125@no prior@uniform@110	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred half-siblings	0.152542372881356	110	125	uniform	no prior	107	128	0.8359375	off_125@no prior@uniform@110	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred half-siblings	0.795918367346939	110	125	uniform	no prior	107	128	0.8359375	off_125@no prior@uniform@110	Offspring sampled = 125	uniform no prior
Unrelated	Inferred half-siblings	0.00974581851705518	110	125	uniform	no prior	107	128	0.8359375	off_125@no prior@uniform@110	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred unrelated	0	110	125	uniform	no prior	107	128	0.8359375	off_125@no prior@uniform@110	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred unrelated	0.193877551020408	110	125	uniform	no prior	107	128	0.8359375	off_125@no prior@uniform@110	Offspring sampled = 125	uniform no prior
Unrelated	Inferred unrelated	0.990254181482945	110	125	uniform	no prior	107	128	0.8359375	off_125@no prior@uniform@110	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred full-siblings	0.977777777777778	89	125	uniform	no prior	78	74	1.05405405405405	off_125@no prior@uniform@89	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred full-siblings	0.00274725274725275	89	125	uniform	no prior	78	74	1.05405405405405	off_125@no prior@uniform@89	Offspring sampled = 125	uniform no prior
Unrelated	Inferred full-siblings	0	89	125	uniform	no prior	78	74	1.05405405405405	off_125@no prior@uniform@89	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred half-siblings	0.0222222222222222	89	125	uniform	no prior	78	74	1.05405405405405	off_125@no prior@uniform@89	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred half-siblings	0.854395604395604	89	125	uniform	no prior	78	74	1.05405405405405	off_125@no prior@uniform@89	Offspring sampled = 125	uniform no prior
